Test,Test#,Pattern,Wafer,Site,Pin,Device,Value,Unit,P/F,Time,TS Time,Print To Data Log
"IVDDDIS_VDD_3_VIN_20",40020,"",0,1,"VDD",2,112.97,"uA","P",0.265177,***,""
"IVINDIS_VDD_3_VIN_20",40060,"",0,1,"VIN1",2,93.5663,"uA","P",0.265177,***,""
"IOFF_VDD_3_VIN_20",40100,"",0,1,"VOUT4",2,-1.94387,"uA","P",0.265177,***,""
"IVINVDD0_VIN_3",40130,"",0,1,"VIN1",2,65.9805,"uA","P",0.265177,***,""
"IOFFVDD0_VIN_3",40150,"",0,1,"VOUT4",2,-0.310782,"uA","P",0.265177,***,""
"IVDDDIS_VDD_20_VIN_3",40030,"",0,1,"VDD",2,135.086,"uA","P",0.265177,***,""
"IVINDIS_VDD_20_VIN_3",40070,"",0,1,"VIN1",2,69.8641,"uA","P",0.265177,***,""
"IOFF_VDD_20_VIN_3",40110,"",0,1,"VOUT4",2,-0.629705,"uA","P",0.265177,***,""
"IVDDDIS_VDD_20_VIN_20",40040,"",0,1,"VDD",2,138.935,"uA","P",0.265177,***,""
"IVINDIS_VDD_20_VIN_20",40080,"",0,1,"VIN1",2,91.9793,"uA","P",0.265177,***,""
"IOFF_VDD_20_VIN_20",40120,"",0,1,"VOUT4",2,-0.666703,"uA","P",0.265177,***,""
"IVINVDD0_VIN_20",40140,"",0,1,"VIN1",2,109.289,"uA","P",0.265177,***,""
"IOFFVDD0_VIN_20",40160,"",0,1,"VOUT4",2,-0.312262,"uA","P",0.265177,***,""
"EN0V_PULLUP_RES",50010,"",0,1,"EN0_PS1600",2,200.997,"Kohm","P",0.157769,***,""
"EN1V_PULLUP_RES",50020,"",0,1,"EN0_PS1600",2,201.959,"Kohm","P",0.157769,***,""
"EN0V_Current",50030,"",0,1,"EN0_PS1600",2,-8.95536,"uA","P",0.157769,***,""
"EN1V_Current",50040,"",0,1,"EN0_PS1600",2,-3.96121,"uA","P",0.157769,***,""
"IOFF_REVERSE_VOUT_VIN_LEAKAGE_1mA",60030,"",0,1,"VIN",2,-269.691,"mV","P",0.123148,***,""
"IOFF_REVERSE_VOUT_VIN_LEAKAGE_10mA",60040,"",0,1,"VIN",2,-331.356,"mV","P",0.123148,***,""
"IOFF_REVERSE_VOUT_VIN_LEAKAGE_100mA",60050,"",0,1,"VIN",2,-210.526,"mV","P",0.123148,***,""
"LEAKAGE_2V",70090,"",0,1,"OFF_PS1600",2,-0.0833573,"uA","P",0.535479,***,""
"IVDD_VDD_3_Vin_3",80001,"",0,1,"VDD",2,100.373,"uA","P",0.658535,***,""
"IVIN_VDD_3_Vin_3",80005,"",0,1,"VIN1",2,53.0845,"uA","P",0.658535,***,""
"IVDD_VDD_3_Vin_20",80010,"",0,1,"VDD",2,102.481,"uA","P",0.658535,***,""
"IVIN_VDD_3_Vin_20",80014,"",0,1,"VIN1",2,84.5613,"uA","P",0.658535,***,""
"IVDD_VDD_20_Vin_3",80011,"",0,1,"VDD",2,121.376,"uA","P",0.658535,***,""
"IVIN_VDD_20_Vin_3",80015,"",0,1,"VIN1",2,51.4099,"uA","P",0.658535,***,""
"IVDD_VDD_20_Vin_20",80012,"",0,1,"VDD",2,115.93,"uA","P",0.658535,***,""
"IVIN_VDD_20_Vin_20",80016,"",0,1,"VIN1",2,88.6908,"uA","P",0.658535,***,""
"Scan_test",330010,"_rdi_burst_SCAN_bk4_mp",0,1,"@",2,***," ","P",0.116819,***,""
"Logic_test",340010,"_rdi_burst_Logic_bk6_mp",0,1,"@",2,***," ","F",0.349371,***,""
