Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Time,TS Time
"SCAN","Scan_test",330010,"Functional","_rdi_burst_SCAN_bk4_mp",***,***," ",***,***,***,***,0.088613,***
"Logic","Logic_test",340010,"Functional","_rdi_burst_Logic_bk6_mp",***,***," ",***,***,***,***,0.277113,***
"Vreftrim","VBIAS_VALUE_CODE0",180020,"Parametric","",0,3,"V",1.89262,1.91476,1.9012,0.0100806,2.14169,***
"Vreftrim","VBIAS_VALUE_CODE1",180030,"Parametric","",0,3,"V",1.90918,1.93144,1.91796,0.00997189,2.14169,***
"Vreftrim","VBIAS_VALUE_CODE2",180040,"Parametric","",0,3,"V",1.92654,1.94868,1.93522,0.0100359,2.14169,***
"Vreftrim","VBIAS_VALUE_CODE3",180050,"Parametric","",0,3,"V",1.94339,1.9661,1.95254,0.0101737,2.14169,***
"Vreftrim","VBIAS_VALUE_CODE4",180060,"Parametric","",0,3,"V",1.96092,1.98408,1.97035,0.0102774,2.14169,***
"Vreftrim","VBIAS_VALUE_CODE5",180070,"Parametric","",0,3,"V",1.97782,2.00173,1.98751,0.0105041,2.14169,***
"Vreftrim","VBIAS_VALUE_CODE6",180080,"Parametric","",0,3,"V",1.99524,2.01897,2.00482,0.0105809,2.14169,***
"Vreftrim","VBIAS_VALUE_CODE7",180090,"Parametric","",0,3,"V",2.01237,2.03599,2.02211,0.0106252,2.14169,***
"Vreftrim","VBIAS_VALUE_CODE8",180100,"Parametric","",0,3,"V",2.03098,2.05426,2.04024,0.010496,2.14169,***
"Vreftrim","VBIAS_VALUE_CODE9",180110,"Parametric","",0,3,"V",2.04811,2.07145,2.05741,0.010606,2.14169,***
"Vreftrim","VBIAS_VALUE_CODE10",180120,"Parametric","",0,3,"V",2.06519,2.08915,2.07482,0.0108119,2.14169,***
"Vreftrim","VBIAS_VALUE_CODE11",180130,"Parametric","",0,3,"V",2.08204,2.10634,2.09201,0.0109164,2.14169,***
"Vreftrim","VBIAS_VALUE_CODE12",180140,"Parametric","",0,3,"V",2.0998,2.12484,2.10993,0.0110981,2.14169,***
"Vreftrim","VBIAS_VALUE_CODE13",180150,"Parametric","",0,3,"V",2.11664,2.14186,2.12713,0.0112154,2.14169,***
"Vreftrim","VBIAS_VALUE_CODE14",180160,"Parametric","",0,3,"V",2.13411,2.15933,2.14445,0.0112846,2.14169,***
"Vreftrim","VBIAS_VALUE_CODE15",180170,"Parametric","",0,3,"V",2.15102,2.17657,2.16162,0.0113068,2.14169,***
